Canal,Energía (keV),Cuentas
398,203.75,141
399,204.23,158
400,204.71,137
401,205.2,136
402,205.68,127
403,206.16,134
404,206.65,123
405,207.13,106
406,207.61,126
407,208.1,132
408,208.58,136
409,209.06,131
410,209.54,144
411,210.03,139
412,210.51,141
413,210.99,143
414,211.48,156
415,211.96,143
416,212.44,121
417,212.93,137
418,213.41,132
419,213.89,148
420,214.37,125
421,214.86,132
422,215.34,109
423,215.82,133
424,216.31,125
425,216.79,132
426,217.27,110
427,217.76,120
428,218.24,136
429,218.72,139
430,219.2,109
431,219.69,111
432,220.17,143
433,220.65,106
434,221.14,125
435,221.62,124
436,222.1,111
437,222.59,116
438,223.07,112
439,223.55,129
440,224.04,143
441,224.52,130
442,225.0,118
443,225.48,110
444,225.97,117
445,226.45,101
446,226.93,115
447,227.42,102
448,227.9,108
449,228.38,121
450,228.87,112
451,229.35,115
452,229.83,110
453,230.31,119
454,230.8,106
455,231.28,120
456,231.76,106
457,232.25,109
458,232.73,104
459,233.21,131
460,233.7,113
461,234.18,108
462,234.66,132
463,235.14,106
464,235.63,99
465,236.11,103
466,236.59,116
467,237.08,117
468,237.56,151
469,238.04,169
470,238.53,154
471,239.01,105
472,239.49,122
473,239.97,89
474,240.46,104
475,240.94,108
476,241.42,113
477,241.91,110
478,242.39,107
479,242.87,113
480,243.36,98
481,243.84,94
482,244.32,111
483,244.8,99
484,245.29,111
485,245.77,91
486,246.25,86
487,246.74,83
488,247.22,93
489,247.7,95
490,248.19,77
491,248.67,97
492,249.15,96
493,249.63,90
494,250.12,103
495,250.6,89
496,251.08,92
497,251.57,115
498,252.05,95
499,252.53,108
500,253.02,97
501,253.5,90
502,253.98,87
503,254.46,111
504,254.95,102
505,255.43,86
506,255.91,89
507,256.4,92
508,256.88,88
509,257.36,73
510,257.85,95
511,258.33,97
512,258.81,100
513,259.3,97
514,259.78,92
515,260.26,80
516,260.74,101
517,261.23,85
518,261.71,103
519,262.19,83
520,262.68,89
521,263.16,87
522,263.64,92
523,264.13,71
524,264.61,92
525,265.09,79
526,265.57,103
527,266.06,86
528,266.54,87
529,267.02,91
530,267.51,93
531,267.99,77
532,268.47,72
533,268.96,109
534,269.44,82
535,269.92,84
536,270.4,88
537,270.89,93
538,271.37,77
539,271.85,75
540,272.34,97
541,272.82,81
542,273.3,83
543,273.79,81
544,274.27,79
545,274.75,76
546,275.23,71
547,275.72,95
548,276.2,91
549,276.68,77
550,277.17,84
551,277.65,91
552,278.13,82
553,278.62,88
554,279.1,65
555,279.58,69
556,280.06,87
557,280.55,73
558,281.03,77
559,281.51,59
560,282.0,60
561,282.48,84
562,282.96,81
563,283.45,87
564,283.93,66
565,284.41,79
566,284.89,72
567,285.38,52
568,285.86,83
569,286.34,72
570,286.83,75
571,287.31,77
572,287.79,90
573,288.28,75
574,288.76,75
575,289.24,73
576,289.72,62
577,290.21,86
578,290.69,90
579,291.17,75
580,291.66,74
581,292.14,84
582,292.62,76
583,293.11,77
584,293.59,103
585,294.07,83
586,294.55,96
587,295.04,90
588,295.52,81
589,296.0,89
590,296.49,69
591,296.97,70
592,297.45,72
593,297.94,66
594,298.42,76
595,298.9,79
596,299.39,104
597,299.87,70
598,300.35,69
599,300.83,77
600,301.32,63
601,301.8,72
602,302.28,71
603,302.77,62
604,303.25,81
605,303.73,87
606,304.22,54
607,304.7,79
608,305.18,70
609,305.66,58
610,306.15,83
611,306.63,64
612,307.11,63
613,307.6,58
614,308.08,71
615,308.56,66
616,309.05,70
617,309.53,75
618,310.01,67
619,310.49,78
620,310.98,70
621,311.46,71
622,311.94,64
623,312.43,79
624,312.91,49
625,313.39,70
626,313.88,75
627,314.36,62
628,314.84,57
629,315.32,59
630,315.81,61
631,316.29,63
632,316.77,57
633,317.26,57
634,317.74,68
635,318.22,75
636,318.71,51
637,319.19,53
638,319.67,64
639,320.15,65
640,320.64,59
641,321.12,59
642,321.6,61
643,322.09,65
644,322.57,72
645,323.05,72
646,323.54,59
647,324.02,57
648,324.5,60
649,324.98,67
650,325.47,70
651,325.95,72
652,326.43,51
653,326.92,75
654,327.4,56
655,327.88,57
656,328.37,55
657,328.85,81
658,329.33,74
659,329.81,73
660,330.3,52
661,330.78,54
662,331.26,65
663,331.75,65
664,332.23,57
665,332.71,50
666,333.2,62
667,333.68,55
668,334.16,53
669,334.65,54
670,335.13,66
671,335.61,57
672,336.09,52
673,336.58,45
674,337.06,57
675,337.54,66
676,338.03,52
677,338.51,44
678,338.99,52
679,339.48,52
680,339.96,54
681,340.44,53
682,340.92,50
683,341.41,54
684,341.89,66
685,342.37,53
686,342.86,69
687,343.34,59
688,343.82,50
689,344.31,60
690,344.79,53
691,345.27,50
692,345.75,52
693,346.24,55
694,346.72,58
695,347.2,50
696,347.69,56
697,348.17,59
698,348.65,59
699,349.14,54
700,349.62,56
701,350.1,60
702,350.58,69
703,351.07,85
704,351.55,82
705,352.03,102
706,352.52,48
707,353.0,41
708,353.48,40
709,353.97,59
710,354.45,49
711,354.93,66
712,355.41,59
713,355.9,64
714,356.38,48
715,356.86,58
716,357.35,55
717,357.83,46
718,358.31,57
719,358.8,44
720,359.28,54
721,359.76,48
722,360.24,66
723,360.73,60
724,361.21,56
725,361.69,62
726,362.18,41
727,362.66,44
728,363.14,48
729,363.63,48
730,364.11,58
731,364.59,44
732,365.07,35
733,365.56,46
734,366.04,54
735,366.52,57
736,367.01,53
737,367.49,42
738,367.97,46
739,368.46,55
740,368.94,40
741,369.42,45
742,369.91,56
743,370.39,44
744,370.87,51
745,371.35,48
746,371.84,42
747,372.32,43
748,372.8,58
749,373.29,47
750,373.77,38
751,374.25,36
752,374.74,58
753,375.22,43
754,375.7,46
755,376.18,40
756,376.67,42
757,377.15,36
758,377.63,31
759,378.12,57
760,378.6,45
761,379.08,43
762,379.57,61
763,380.05,42
764,380.53,42
765,381.01,44
766,381.5,43
767,381.98,42
768,382.46,30
769,382.95,48
770,383.43,56
771,383.91,53
772,384.4,45
773,384.88,48
774,385.36,62
775,385.84,48
776,386.33,42
777,386.81,52
778,387.29,63
779,387.78,53
780,388.26,49
781,388.74,47
782,389.23,42
783,389.71,35
784,390.19,39
785,390.67,37
786,391.16,40
787,391.64,37
788,392.12,58
789,392.61,47
790,393.09,34
791,393.57,53
792,394.06,41
793,394.54,41
794,395.02,45
795,395.5,36
796,395.99,51
797,396.47,59
798,396.95,32
799,397.44,37
800,397.92,46
801,398.4,56
802,398.89,55
803,399.37,43
804,399.85,52
805,400.33,40
806,400.82,40
807,401.3,44
808,401.78,44
809,402.27,49
810,402.75,38
811,403.23,39
812,403.72,36
813,404.2,48
814,404.68,35
815,405.17,51
816,405.65,41
817,406.13,54
818,406.61,47
819,407.1,39
820,407.58,40
821,408.06,43
822,408.55,42
823,409.03,33
824,409.51,39
825,410.0,38
826,410.48,30
827,410.96,43
828,411.44,50
829,411.93,31
830,412.41,46
831,412.89,47
832,413.38,51
833,413.86,34
834,414.34,28
835,414.83,39
836,415.31,35
837,415.79,43
838,416.27,42
839,416.76,36
840,417.24,41
841,417.72,28
842,418.21,48
843,418.69,46
844,419.17,33
845,419.66,40
846,420.14,37
847,420.62,49
848,421.1,35
849,421.59,35
850,422.07,32
851,422.55,45
852,423.04,39
853,423.52,50
854,424.0,34
855,424.49,33
856,424.97,40
857,425.45,43
858,425.93,34
859,426.42,37
860,426.9,32
861,427.38,50
862,427.87,37
863,428.35,44
864,428.83,44
865,429.32,28
866,429.8,27
867,430.28,32
868,430.76,41
869,431.25,37
870,431.73,33
871,432.21,48
872,432.7,28
873,433.18,35
874,433.66,36
875,434.15,28
876,434.63,42
877,435.11,29
878,435.59,49
879,436.08,30
880,436.56,49
881,437.04,51
882,437.53,38
883,438.01,49
884,438.49,57
885,438.98,40
886,439.46,44
887,439.94,37
888,440.43,26
889,440.91,41
890,441.39,41
891,441.87,40
892,442.36,27
893,442.84,34
894,443.32,38
895,443.81,57
896,444.29,29
897,444.77,30
898,445.26,39
899,445.74,41
900,446.22,32
901,446.7,33
902,447.19,29
903,447.67,27
904,448.15,36
905,448.64,32
906,449.12,43
907,449.6,24
908,450.09,40
909,450.57,45
910,451.05,37
911,451.53,37
912,452.02,33
913,452.5,45
914,452.98,36
915,453.47,33
916,453.95,42
917,454.43,33
918,454.92,37
919,455.4,37
920,455.88,37
921,456.36,50
922,456.85,28
923,457.33,43
924,457.81,28
925,458.3,35
926,458.78,35
927,459.26,36
928,459.75,37
929,460.23,36
930,460.71,32
931,461.19,42
932,461.68,38
933,462.16,32
934,462.64,44
935,463.13,44
936,463.61,35
937,464.09,37
938,464.58,33
939,465.06,41
940,465.54,40
941,466.02,34
942,466.51,36
943,466.99,40
944,467.47,36
945,467.96,30
946,468.44,28
947,468.92,35
948,469.41,40
949,469.89,35
950,470.37,25
951,470.85,29
952,471.34,31
953,471.82,30
954,472.3,35
955,472.79,31
956,473.27,25
957,473.75,37
958,474.24,40
959,474.72,28
960,475.2,28
961,475.69,42
962,476.17,26
963,476.65,38
964,477.13,29
965,477.62,35
966,478.1,41
967,478.58,26
968,479.07,39
969,479.55,27
970,480.03,26
971,480.52,36
972,481.0,24
973,481.48,37
974,481.96,26
975,482.45,26
976,482.93,28
977,483.41,27
978,483.9,30
979,484.38,29
980,484.86,33
981,485.35,35
982,485.83,23
983,486.31,38
984,486.79,23
985,487.28,35
986,487.76,28
987,488.24,45
988,488.73,22
989,489.21,34
990,489.69,34
991,490.18,39
992,490.66,25
993,491.14,29
994,491.62,32
995,492.11,31
996,492.59,35
997,493.07,31
998,493.56,23
999,494.04,30
1000,494.52,41
1001,495.01,28
1002,495.49,25
1003,495.97,34
1004,496.45,37
1005,496.94,25
1006,497.42,35
1007,497.9,23
1008,498.39,28
1009,498.87,22
1010,499.35,35
1011,499.84,40
1012,500.32,31
1013,500.8,37
1014,501.28,24
1015,501.77,29
1016,502.25,31
1017,502.73,32
1018,503.22,25
1019,503.7,21
1020,504.18,31
1021,504.67,31
1022,505.15,30
1023,505.63,21
1024,506.11,36
1025,506.6,34
1026,507.08,31
1027,507.56,35
1028,508.05,41
1029,508.53,50
1030,509.01,67
1031,509.5,88
1032,509.98,86
1033,510.46,97
1034,510.95,108
1035,511.43,89
1036,511.91,62
1037,512.39,64
1038,512.88,43
1039,513.36,64
1040,513.84,45
1041,514.33,26
1042,514.81,35
1043,515.29,27
1044,515.78,30
1045,516.26,31
1046,516.74,32
1047,517.22,27
1048,517.71,23
1049,518.19,22
1050,518.67,38
1051,519.16,32
1052,519.64,37
1053,520.12,30
1054,520.61,32
1055,521.09,37
1056,521.57,25
1057,522.05,36
1058,522.54,24
1059,523.02,37
1060,523.5,18
1061,523.99,20
1062,524.47,36
1063,524.95,35
1064,525.44,32
1065,525.92,32
1066,526.4,29
1067,526.88,34
1068,527.37,34
1069,527.85,34
1070,528.33,29
1071,528.82,21
1072,529.3,36
1073,529.78,23
1074,530.27,23
1075,530.75,21
1076,531.23,29
1077,531.71,28
1078,532.2,30
1079,532.68,33
1080,533.16,33
1081,533.65,33
1082,534.13,29
1083,534.61,22
1084,535.1,30
1085,535.58,24
1086,536.06,33
1087,536.54,30
1088,537.03,22
1089,537.51,37
1090,537.99,27
1091,538.48,21
1092,538.96,30
1093,539.44,35
1094,539.93,21
1095,540.41,27
1096,540.89,34
1097,541.37,20
1098,541.86,31
1099,542.34,21
1100,542.82,27
1101,543.31,26
1102,543.79,18
1103,544.27,28
1104,544.76,34
1105,545.24,30
1106,545.72,26
1107,546.21,33
1108,546.69,24
1109,547.17,22
1110,547.65,27
1111,548.14,21
1112,548.62,21
1113,549.1,25
1114,549.59,26
1115,550.07,33
1116,550.55,24
1117,551.04,25
1118,551.52,24
1119,552.0,30
1120,552.48,20
1121,552.97,33
1122,553.45,19
1123,553.93,34
1124,554.42,27
1125,554.9,28
1126,555.38,25
1127,555.87,26
1128,556.35,26
1129,556.83,23
1130,557.31,17
1131,557.8,30
1132,558.28,21
1133,558.76,21
1134,559.25,31
1135,559.73,19
1136,560.21,29
1137,560.7,28
1138,561.18,26
1139,561.66,28
1140,562.14,32
1141,562.63,24
1142,563.11,27
1143,563.59,24
1144,564.08,27
1145,564.56,27
1146,565.04,23
1147,565.53,21
1148,566.01,23
1149,566.49,32
1150,566.97,29
1151,567.46,29
1152,567.94,22
1153,568.42,40
1154,568.91,22
1155,569.39,27
1156,569.87,16
1157,570.36,28
1158,570.84,35
1159,571.32,26
1160,571.8,22
1161,572.29,28
1162,572.77,29
1163,573.25,26
1164,573.74,25
1165,574.22,27
1166,574.7,25
1167,575.19,23
1168,575.67,22
1169,576.15,25
1170,576.63,19
1171,577.12,29
1172,577.6,21
1173,578.08,19
1174,578.57,22
1175,579.05,12
1176,579.53,18
1177,580.02,15
1178,580.5,21
1179,580.98,28
1180,581.47,29
1181,581.95,23
1182,582.43,26
1183,582.91,41
1184,583.4,35
1185,583.88,40
1186,584.36,27
1187,584.85,27
1188,585.33,30
1189,585.81,27
1190,586.3,28
1191,586.78,20
1192,587.26,21
1193,587.74,28
1194,588.23,20
1195,588.71,28
1196,589.19,26
1197,589.68,31
1198,590.16,22
1199,590.64,25
1200,591.13,22
1201,591.61,34
1202,592.09,24
1203,592.57,23
1204,593.06,15
1205,593.54,18
1206,594.02,26
1207,594.51,28
1208,594.99,28
1209,595.47,27
1210,595.96,29
1211,596.44,19
1212,596.92,28
1213,597.4,26
1214,597.89,17
1215,598.37,24
1216,598.85,29
1217,599.34,18
1218,599.82,40
1219,600.3,25
1220,600.79,26
1221,601.27,32
1222,601.75,22
1223,602.23,20
1224,602.72,23
1225,603.2,36
1226,603.68,24
1227,604.17,31
1228,604.65,25
1229,605.13,21
1230,605.62,20
1231,606.1,25
1232,606.58,25
1233,607.06,24
1234,607.55,29
1235,608.03,25
1236,608.51,33
1237,609.0,41
1238,609.48,52
1239,609.96,47
1240,610.45,25
1241,610.93,17
1242,611.41,27
1243,611.89,23
1244,612.38,29
1245,612.86,25
1246,613.34,17
1247,613.83,27
1248,614.31,26
1249,614.79,24
1250,615.28,21
1251,615.76,29
1252,616.24,16
1253,616.73,20
1254,617.21,26
1255,617.69,24
1256,618.17,18
1257,618.66,28
1258,619.14,16
1259,619.62,25
1260,620.11,20
1261,620.59,21
1262,621.07,19
1263,621.56,25
1264,622.04,13
1265,622.52,15
1266,623.0,23
1267,623.49,23
1268,623.97,26
1269,624.45,24
1270,624.94,28
1271,625.42,26
1272,625.9,21
1273,626.39,16
1274,626.87,19
1275,627.35,17
1276,627.83,24
1277,628.32,18
1278,628.8,32
1279,629.28,18
1280,629.77,18
1281,630.25,26
1282,630.73,30
1283,631.22,18
1284,631.7,20
1285,632.18,27
1286,632.66,19
1287,633.15,21
1288,633.63,25
1289,634.11,15
1290,634.6,31
1291,635.08,27
1292,635.56,17
1293,636.05,23
1294,636.53,24
1295,637.01,31
1296,637.49,19
1297,637.98,20
1298,638.46,29
1299,638.94,32
1300,639.43,27
1301,639.91,24
1302,640.39,29
1303,640.88,15
1304,641.36,17
1305,641.84,20
1306,642.32,17
1307,642.81,22
1308,643.29,18
1309,643.77,23
1310,644.26,20
1311,644.74,16
1312,645.22,19
1313,645.71,21
1314,646.19,15
1315,646.67,15
1316,647.15,16
1317,647.64,19
1318,648.12,26
1319,648.6,24
1320,649.09,16
1321,649.57,17
1322,650.05,29
1323,650.54,24
1324,651.02,20
1325,651.5,18
1326,651.98,28
1327,652.47,23
1328,652.95,22
1329,653.43,19
1330,653.92,21
1331,654.4,20
1332,654.88,16
1333,655.37,19
1334,655.85,19
1335,656.33,24
1336,656.82,15
1337,657.3,24
1338,657.78,26
1339,658.26,19
1340,658.75,17
1341,659.23,22
1342,659.71,19
1343,660.2,26
1344,660.68,20
1345,661.16,25
1346,661.65,16
1347,662.13,20
1348,662.61,17
1349,663.09,26
1350,663.58,24
1351,664.06,11
1352,664.54,17
1353,665.03,16
1354,665.51,22
1355,665.99,22
1356,666.48,17
1357,666.96,18
1358,667.44,25
1359,667.92,18
1360,668.41,10
1361,668.89,16
1362,669.37,26
1363,669.86,15
1364,670.34,22
1365,670.82,23
1366,671.31,24
1367,671.79,24
1368,672.27,29
1369,672.75,20
1370,673.24,24
1371,673.72,29
1372,674.2,25
1373,674.69,24
1374,675.17,20
1375,675.65,26
1376,676.14,11
1377,676.62,14
1378,677.1,26
1379,677.58,21
1380,678.07,19
1381,678.55,21
1382,679.03,18
1383,679.52,27
1384,680.0,20
1385,680.48,23
1386,680.97,19
1387,681.45,28
1388,681.93,28
1389,682.41,21
1390,682.9,22
1391,683.38,20
1392,683.86,20
1393,684.35,27
1394,684.83,18
1395,685.31,19
1396,685.8,14
1397,686.28,18
1398,686.76,23
1399,687.24,17
1400,687.73,17
1401,688.21,24
1402,688.69,14
1403,689.18,19
1404,689.66,18
1405,690.14,15
1406,690.63,22
1407,691.11,25
1408,691.59,21
1409,692.08,21
1410,692.56,18
1411,693.04,17
1412,693.52,26
1413,694.01,20
