Canal,Energía (keV),Cuentas,Eficiencia
147,82.85,206,0.02497807281279194
148,83.33,240,0.02500482443124937
149,83.81,260,0.025028851634329274
150,84.3,254,0.025050644923692834
151,84.78,217,0.025069387879817315
152,85.26,238,0.02508562344217458
153,85.74,216,0.025099421389160964
154,86.22,251,0.0251108504390477
155,86.7,228,0.025119978233839622
156,87.19,269,0.02512699163928049
157,87.67,259,0.025131670973911422
158,88.15,231,0.025134246724923964
159,88.63,223,0.025134782091559223
160,89.11,200,0.025133339150154935
161,89.6,248,0.025129888886476656
162,90.08,253,0.02512463298072267
163,90.56,224,0.025117579444126147
164,91.04,221,0.025108785820712805
165,91.52,327,0.025098308530638012
166,92.01,554,0.025085933747567107
167,92.49,705,0.025072221683173957
168,92.97,549,0.025056989609270986
169,93.45,322,0.025040289479062793
170,93.93,217,0.02502217215298612
171,94.41,242,0.025002687407749406
172,94.9,216,0.024981436861008236
173,95.38,225,0.024959336340818795
174,95.86,240,0.024936012290514058
175,96.34,230,0.024911510235435464
176,96.82,257,0.02488587467307663
177,97.31,240,0.02485858101785944
178,97.79,244,0.02483078650715948
179,98.27,239,0.02480198679849529
180,98.75,253,0.024772222389650253
181,99.23,284,0.024741532818576075
182,99.72,227,0.02470928968543789
183,100.2,222,0.024676847345164184
184,100.68,261,0.02464359359896792
185,101.16,192,0.024609564273404962
186,101.64,246,0.02457479430963095
187,102.13,222,0.024538571410215194
188,102.61,214,0.024502407847038075
189,103.09,254,0.024465603974840325
190,103.57,241,0.024428191328823665
191,104.05,222,0.024390200635560605
192,104.53,253,0.024351661828301244
193,105.02,266,0.024311785045018294
194,105.5,240,0.02427222678881217
195,105.98,235,0.024232206178685597
196,106.46,200,0.02419175011129934
197,106.94,256,0.024150884765792194
198,107.43,252,0.02410877235885701
199,107.91,257,0.024067156977552226
200,108.39,234,0.024025207193012717
201,108.87,237,0.023982946447316092
202,109.35,268,0.023940397537906118
203,109.84,221,0.023896687981339794
204,110.32,249,0.023853623760599175
205,110.8,259,0.0238103364704886
206,111.28,229,0.023766846456637927
207,111.76,241,0.023723173488848667
208,112.25,275,0.023678421902715158
209,112.73,282,0.02363443727052194
210,113.21,223,0.02359032604123961
211,113.69,217,0.023546105800098197
212,114.17,180,0.023501793620532837
213,114.65,234,0.023457406076326365
214,115.14,258,0.02341203276037268
215,115.62,224,0.02336754152202828
216,116.1,263,0.02332302207156419
217,116.58,231,0.02327848909219824
218,117.06,234,0.02323395682538587
