Canal,Energía (keV),Cuentas
348,179.71,157
349,180.19,145
350,180.68,166
351,181.16,157
352,181.64,164
353,182.12,158
354,182.6,143
355,183.08,139
356,183.57,152
357,184.05,156
358,184.53,203
359,185.01,256
360,185.49,294
361,185.98,266
362,186.46,187
363,186.94,166
364,187.42,161
365,187.9,152
366,188.39,157
367,188.87,153
368,189.35,137
369,189.83,159
370,190.31,147
371,190.79,141
372,191.28,143
373,191.76,138
374,192.24,146
375,192.72,143
376,193.2,131
377,193.69,162
378,194.17,130
379,194.65,145
380,195.13,132
381,195.61,133
382,196.1,131
383,196.58,138
384,197.06,160
385,197.54,153
386,198.02,135
387,198.51,150
388,198.99,134
389,199.47,140
390,199.95,135
391,200.43,140
392,200.91,139
393,201.4,135
394,201.88,132
395,202.36,127
396,202.84,129
397,203.32,114
398,203.81,129
399,204.29,124
400,204.77,142
401,205.25,145
402,205.73,134
403,206.22,139
404,206.7,144
405,207.18,111
406,207.66,128
407,208.14,119
408,208.63,133
409,209.11,134
410,209.59,128
411,210.07,128
412,210.55,106
413,211.03,135
414,211.52,119
415,212.0,141
416,212.48,126
417,212.96,122
418,213.44,117
419,213.93,112
420,214.41,112
421,214.89,115
422,215.37,116
423,215.85,108
424,216.34,113
425,216.82,134
426,217.3,114
427,217.78,122
428,218.26,130
429,218.75,132
430,219.23,121
431,219.71,123
432,220.19,122
433,220.67,117
434,221.15,122
435,221.64,108
436,222.12,108
437,222.6,107
438,223.08,118
439,223.56,111
440,224.05,127
441,224.53,91
442,225.01,111
443,225.49,119
444,225.97,104
445,226.46,106
446,226.94,104
447,227.42,106
448,227.9,125
449,228.38,94
450,228.87,98
451,229.35,99
452,229.83,117
453,230.31,122
454,230.79,87
455,231.27,121
456,231.76,98
457,232.24,104
458,232.72,98
459,233.2,82
460,233.68,101
461,234.17,108
462,234.65,95
463,235.13,102
464,235.61,107
465,236.09,103
466,236.58,106
467,237.06,106
468,237.54,115
469,238.02,138
470,238.5,171
471,238.98,138
472,239.47,105
473,239.95,109
474,240.43,101
475,240.91,87
476,241.39,119
477,241.88,104
478,242.36,80
479,242.84,112
480,243.32,93
481,243.8,92
482,244.29,108
483,244.77,87
484,245.25,105
485,245.73,97
486,246.21,97
487,246.7,73
488,247.18,98
489,247.66,95
490,248.14,113
491,248.62,109
492,249.1,93
493,249.59,81
494,250.07,108
495,250.55,91
496,251.03,94
497,251.51,98
498,252.0,98
499,252.48,92
500,252.96,90
501,253.44,89
502,253.92,90
503,254.41,79
504,254.89,84
505,255.37,101
506,255.85,89
507,256.33,97
508,256.82,86
509,257.3,102
510,257.78,86
511,258.26,101
512,258.74,81
513,259.22,85
514,259.71,69
515,260.19,91
516,260.67,81
517,261.15,98
518,261.63,97
519,262.12,82
520,262.6,84
521,263.08,89
522,263.56,88
523,264.04,93
524,264.53,97
525,265.01,81
526,265.49,113
527,265.97,79
528,266.45,77
529,266.94,85
530,267.42,102
531,267.9,90
532,268.38,71
533,268.86,86
534,269.34,82
535,269.83,78
536,270.31,89
537,270.79,81
538,271.27,63
539,271.75,90
540,272.24,84
541,272.72,73
542,273.2,74
543,273.68,82
544,274.16,85
545,274.65,76
546,275.13,79
547,275.61,78
548,276.09,79
549,276.57,83
550,277.06,74
551,277.54,87
552,278.02,80
553,278.5,76
554,278.98,81
555,279.46,70
556,279.95,87
557,280.43,75
558,280.91,87
559,281.39,67
560,281.87,75
561,282.36,65
562,282.84,77
563,283.32,62
564,283.8,67
565,284.28,73
566,284.77,49
567,285.25,56
568,285.73,59
569,286.21,66
570,286.69,70
571,287.17,70
572,287.66,85
573,288.14,72
574,288.62,58
575,289.1,71
576,289.58,75
577,290.07,70
578,290.55,75
579,291.03,77
580,291.51,80
581,291.99,52
582,292.48,72
583,292.96,73
584,293.44,87
585,293.92,79
586,294.4,84
587,294.89,75
588,295.37,86
589,295.85,95
590,296.33,60
591,296.81,77
592,297.29,68
593,297.78,76
594,298.26,73
595,298.74,51
596,299.22,78
597,299.7,65
598,300.19,72
599,300.67,55
600,301.15,78
601,301.63,71
602,302.11,75
603,302.6,61
604,303.08,57
605,303.56,66
606,304.04,65
607,304.52,77
608,305.01,74
609,305.49,81
610,305.97,61
611,306.45,67
612,306.93,65
613,307.41,64
614,307.9,57
615,308.38,69
616,308.86,68
617,309.34,60
618,309.82,57
619,310.31,74
620,310.79,46
621,311.27,70
622,311.75,69
623,312.23,61
624,312.72,52
625,313.2,72
626,313.68,70
627,314.16,57
628,314.64,75
629,315.13,59
630,315.61,62
631,316.09,64
632,316.57,52
633,317.05,71
634,317.53,55
635,318.02,47
636,318.5,60
637,318.98,68
638,319.46,67
639,319.94,66
640,320.43,51
641,320.91,63
642,321.39,69
643,321.87,51
644,322.35,63
645,322.84,60
646,323.32,70
647,323.8,55
648,324.28,53
649,324.76,63
650,325.25,65
651,325.73,51
652,326.21,67
653,326.69,68
654,327.17,60
655,327.65,66
656,328.14,61
657,328.62,50
658,329.1,62
659,329.58,53
660,330.06,57
661,330.55,54
662,331.03,57
663,331.51,45
664,331.99,65
665,332.47,53
666,332.96,58
667,333.44,61
668,333.92,46
669,334.4,59
670,334.88,60
671,335.36,53
672,335.85,65
673,336.33,53
674,336.81,67
675,337.29,71
676,337.77,66
677,338.26,65
678,338.74,62
679,339.22,57
680,339.7,59
681,340.18,41
682,340.67,66
683,341.15,46
684,341.63,60
685,342.11,62
686,342.59,51
687,343.08,57
688,343.56,45
689,344.04,46
690,344.52,50
691,345.0,52
692,345.48,61
693,345.97,65
694,346.45,45
695,346.93,46
696,347.41,55
697,347.89,59
698,348.38,46
699,348.86,49
700,349.34,60
701,349.82,50
702,350.3,57
703,350.79,65
704,351.27,76
705,351.75,79
706,352.23,63
707,352.71,64
708,353.2,40
709,353.68,57
710,354.16,30
711,354.64,51
712,355.12,42
713,355.6,42
714,356.09,53
715,356.57,66
716,357.05,44
717,357.53,52
718,358.01,45
719,358.5,56
720,358.98,46
721,359.46,54
722,359.94,43
723,360.42,55
724,360.91,45
725,361.39,52
726,361.87,41
727,362.35,62
728,362.83,42
729,363.32,61
730,363.8,53
731,364.28,55
732,364.76,58
733,365.24,39
734,365.72,57
735,366.21,41
736,366.69,45
737,367.17,36
738,367.65,45
739,368.13,49
740,368.62,52
741,369.1,38
742,369.58,54
743,370.06,42
744,370.54,42
745,371.03,48
746,371.51,45
747,371.99,55
748,372.47,59
749,372.95,48
750,373.44,38
751,373.92,52
752,374.4,48
753,374.88,58
754,375.36,47
755,375.84,49
756,376.33,53
757,376.81,38
758,377.29,40
759,377.77,33
760,378.25,46
761,378.74,41
762,379.22,41
763,379.7,42
764,380.18,39
765,380.66,37
766,381.15,33
767,381.63,43
768,382.11,51
769,382.59,52
770,383.07,38
771,383.55,50
772,384.04,47
773,384.52,45
774,385.0,45
775,385.48,38
776,385.96,36
777,386.45,58
778,386.93,49
779,387.41,46
780,387.89,51
781,388.37,38
782,388.86,50
783,389.34,45
784,389.82,48
785,390.3,34
786,390.78,42
787,391.27,37
788,391.75,36
789,392.23,52
790,392.71,45
791,393.19,34
792,393.67,41
793,394.16,43
794,394.64,31
795,395.12,32
796,395.6,45
797,396.08,48
798,396.57,44
799,397.05,35
800,397.53,39
801,398.01,45
802,398.49,48
803,398.98,40
804,399.46,40
805,399.94,46
806,400.42,40
807,400.9,54
808,401.39,42
809,401.87,38
810,402.35,39
811,402.83,36
812,403.31,47
813,403.79,34
814,404.28,35
815,404.76,32
816,405.24,33
817,405.72,25
818,406.2,42
819,406.69,38
820,407.17,37
821,407.65,37
822,408.13,39
823,408.61,30
824,409.1,45
825,409.58,45
826,410.06,34
827,410.54,52
828,411.02,29
829,411.51,48
830,411.99,38
831,412.47,40
832,412.95,37
833,413.43,38
834,413.91,41
835,414.4,37
836,414.88,31
837,415.36,45
838,415.84,43
839,416.32,39
840,416.81,42
841,417.29,38
842,417.77,35
843,418.25,39
844,418.73,44
845,419.22,32
846,419.7,51
847,420.18,41
848,420.66,34
849,421.14,38
850,421.63,27
851,422.11,39
852,422.59,37
853,423.07,44
854,423.55,46
855,424.03,44
856,424.52,41
857,425.0,32
858,425.48,30
859,425.96,43
860,426.44,37
861,426.93,35
862,427.41,39
863,427.89,35
864,428.37,34
865,428.85,37
866,429.34,40
867,429.82,26
868,430.3,43
869,430.78,35
870,431.26,39
871,431.74,27
872,432.23,35
873,432.71,31
874,433.19,41
875,433.67,33
876,434.15,37
877,434.64,39
878,435.12,44
879,435.6,39
880,436.08,31
881,436.56,30
882,437.05,43
883,437.53,43
884,438.01,45
885,438.49,40
886,438.97,31
887,439.46,42
888,439.94,32
889,440.42,33
890,440.9,38
891,441.38,38
892,441.86,29
893,442.35,29
894,442.83,34
895,443.31,35
896,443.79,32
897,444.27,27
898,444.76,32
899,445.24,29
900,445.72,41
901,446.2,33
902,446.68,49
903,447.17,32
904,447.65,39
905,448.13,34
906,448.61,28
907,449.09,28
908,449.58,40
909,450.06,39
910,450.54,33
911,451.02,32
912,451.5,23
913,451.98,35
914,452.47,33
915,452.95,32
916,453.43,46
917,453.91,33
918,454.39,43
919,454.88,35
920,455.36,32
921,455.84,30
922,456.32,33
923,456.8,27
924,457.29,27
925,457.77,36
926,458.25,29
927,458.73,38
928,459.21,23
929,459.7,27
930,460.18,32
931,460.66,37
932,461.14,26
933,461.62,30
934,462.1,42
935,462.59,29
936,463.07,43
937,463.55,24
938,464.03,35
939,464.51,42
940,465.0,32
941,465.48,28
942,465.96,28
943,466.44,38
944,466.92,30
945,467.41,27
946,467.89,32
947,468.37,35
948,468.85,31
949,469.33,27
950,469.82,26
951,470.3,37
952,470.78,31
953,471.26,32
954,471.74,52
955,472.22,27
956,472.71,34
957,473.19,33
958,473.67,32
959,474.15,27
960,474.63,31
961,475.12,33
962,475.6,23
963,476.08,22
964,476.56,30
965,477.04,26
966,477.53,30
967,478.01,32
968,478.49,36
969,478.97,26
970,479.45,29
971,479.93,36
972,480.42,34
973,480.9,40
974,481.38,27
975,481.86,24
976,482.34,32
977,482.83,25
978,483.31,27
979,483.79,28
980,484.27,36
981,484.75,25
982,485.24,29
983,485.72,30
984,486.2,29
985,486.68,33
986,487.16,32
987,487.65,38
988,488.13,19
989,488.61,36
990,489.09,27
991,489.57,38
992,490.05,22
993,490.54,37
994,491.02,29
995,491.5,25
996,491.98,23
997,492.46,20
998,492.95,33
999,493.43,28
1000,493.91,26
1001,494.39,32
1002,494.87,31
1003,495.36,29
1004,495.84,29
1005,496.32,32
1006,496.8,41
1007,497.28,33
1008,497.77,28
1009,498.25,28
1010,498.73,29
1011,499.21,35
1012,499.69,25
1013,500.17,31
1014,500.66,27
1015,501.14,33
1016,501.62,29
1017,502.1,18
1018,502.58,23
1019,503.07,26
1020,503.55,36
1021,504.03,25
1022,504.51,20
1023,504.99,34
1024,505.48,34
1025,505.96,26
1026,506.44,25
1027,506.92,27
1028,507.4,32
1029,507.89,31
1030,508.37,41
1031,508.85,51
1032,509.33,76
1033,509.81,97
1034,510.29,97
1035,510.78,86
1036,511.26,98
1037,511.74,79
1038,512.22,68
1039,512.7,49
1040,513.19,42
1041,513.67,34
1042,514.15,33
1043,514.63,25
1044,515.11,33
1045,515.6,25
1046,516.08,35
1047,516.56,22
1048,517.04,26
1049,517.52,20
1050,518.01,22
1051,518.49,17
1052,518.97,33
1053,519.45,29
1054,519.93,28
1055,520.41,27
1056,520.9,27
1057,521.38,30
1058,521.86,27
1059,522.34,25
1060,522.82,21
1061,523.31,32
1062,523.79,19
1063,524.27,30
1064,524.75,26
1065,525.23,18
1066,525.72,26
1067,526.2,35
1068,526.68,19
1069,527.16,29
1070,527.64,22
1071,528.12,35
1072,528.61,20
1073,529.09,26
1074,529.57,23
1075,530.05,21
1076,530.53,27
1077,531.02,20
1078,531.5,33
1079,531.98,28
1080,532.46,22
1081,532.94,17
1082,533.43,24
1083,533.91,23
1084,534.39,21
1085,534.87,29
1086,535.35,32
1087,535.84,26
1088,536.32,25
1089,536.8,25
1090,537.28,28
1091,537.76,24
1092,538.24,28
1093,538.73,25
1094,539.21,25
1095,539.69,25
1096,540.17,20
1097,540.65,40
1098,541.14,23
1099,541.62,24
1100,542.1,25
1101,542.58,29
1102,543.06,21
1103,543.55,24
1104,544.03,21
1105,544.51,32
1106,544.99,32
1107,545.47,27
1108,545.96,25
1109,546.44,33
1110,546.92,23
1111,547.4,19
1112,547.88,27
1113,548.36,23
1114,548.85,25
1115,549.33,21
1116,549.81,26
1117,550.29,32
1118,550.77,25
1119,551.26,28
1120,551.74,23
1121,552.22,27
1122,552.7,23
1123,553.18,26
1124,553.67,23
1125,554.15,27
1126,554.63,29
1127,555.11,26
1128,555.59,24
1129,556.08,27
1130,556.56,21
1131,557.04,20
1132,557.52,29
1133,558.0,22
1134,558.48,22
1135,558.97,26
1136,559.45,28
1137,559.93,19
1138,560.41,29
1139,560.89,23
1140,561.38,27
1141,561.86,35
1142,562.34,26
1143,562.82,13
1144,563.3,23
1145,563.79,29
1146,564.27,18
1147,564.75,24
1148,565.23,21
1149,565.71,29
1150,566.2,30
1151,566.68,24
1152,567.16,17
1153,567.64,31
