Canal,Energía (keV),Cuentas,Eficiencia
146,82.03,232,0.02492585798083699
147,82.51,246,0.024957435098956728
148,83.0,262,0.02498672979719561
149,83.48,271,0.025012622150603434
150,83.96,282,0.025035812961093844
151,84.44,255,0.025056374775769406
152,84.93,234,0.02507472754178561
153,85.41,247,0.025090193903087473
154,85.89,215,0.025103244238168287
155,86.38,236,0.02511414542325776
156,86.86,223,0.02512252097652909
157,87.34,236,0.02512868376649436
158,87.83,225,0.025132760145088928
159,88.31,216,0.025134648801200372
160,88.79,259,0.025134517890018658
161,89.27,262,0.025132429112747743
162,89.76,247,0.0251283402530935
163,90.24,239,0.025122478673776375
164,90.72,229,0.02511483877002903
165,91.21,332,0.025105264790026366
166,91.69,644,0.02509420452003742
167,92.17,762,0.025081535201593362
168,92.66,468,0.02506699812290265
169,93.14,280,0.025051240227291296
170,93.62,261,0.02503403241297386
171,94.1,247,0.025015425155483842
172,94.59,230,0.024995038064878607
173,95.07,217,0.024973752423489794
174,95.55,216,0.024951213298146743
175,96.04,221,0.024926959654994883
176,96.52,258,0.024902027374940416
177,97.0,219,0.02487597801176921
178,97.49,240,0.024848278484059322
179,97.97,226,0.024820102216766074
180,98.45,215,0.02479093605156521
181,98.93,235,0.024760820124629133
182,99.42,232,0.02472913782484522
183,99.9,234,0.02469722120595427
184,100.38,229,0.024664470333201217
185,100.87,225,0.024630214433673882
186,101.35,212,0.024595887809495787
187,101.83,226,0.024560834136733677
188,102.32,219,0.024524335281642683
189,102.8,232,0.024487914439659555
190,103.28,205,0.02445086586901361
191,103.76,221,0.024413220782984038
192,104.25,246,0.02437420771960902
193,104.73,257,0.024335449180471026
194,105.21,256,0.02429618360448035
195,105.7,267,0.024255606163416894
196,106.18,236,0.024215400885588115
197,106.66,241,0.024174771144821854
198,107.15,233,0.024132884012280007
199,107.63,216,0.024091474786620364
200,108.11,242,0.024049717179837265
201,108.59,262,0.024007635016600217
202,109.08,259,0.023964365435770324
203,109.56,226,0.023921697461852545
204,110.04,267,0.02387877299436559
205,110.53,225,0.023834711806169598
206,111.01,226,0.023791333355212673
207,111.49,274,0.023747760899877353
208,111.98,245,0.023703100849070142
209,112.46,247,0.023659195351862325
